"Model","Scenario","Region","Fuel","Period","Rate","Size","Category","Type"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","World","Gas","2020-2030",0.038271873477041,30268.33794,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","World","Oil","2020-2030",0.00486337308284989,30268.33794,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5ASIA","Total","2020-2030",0.314972237482465,11099.48511,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5ASIA","Coal","2020-2030",0.137930344049986,11099.48511,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5ASIA","Gas","2020-2030",0.00626455545558184,11099.48511,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5ASIA","Oil","2020-2030",0.00617945961639296,11099.48511,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5LAM","Total","2020-2030",0.24405072344991,1864.28802,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5LAM","Coal","2020-2030",0.0166892667153437,1864.28802,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5LAM","Gas","2020-2030",0.0593065013634535,1864.28802,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5LAM","Oil","2020-2030",0.0162869361784559,1864.28802,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5MAF","Total","2020-2030",0.331549754502822,2268.82038,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5MAF","Coal","2020-2030",0.0516217506826168,2268.82038,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5MAF","Gas","2020-2030",0.145033120691555,2268.82038,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5MAF","Oil","2020-2030",0.0552093154240795,2268.82038,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5OECD90+EU","Total","2020-2030",0.154210756913926,12554.17092,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5OECD90+EU","Coal","2020-2030",-0.162300791743562,12554.17092,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5OECD90+EU","Gas","2020-2030",0.0309085356948446,12554.17092,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5OECD90+EU","Oil","2020-2030",-0.00473762707063734,12554.17092,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5REF","Total","2020-2030",0.236884984697896,2310.14313,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5REF","Coal","2020-2030",0.0343320285959944,2310.14313,"L2C","2C"
